Optimale Uhr fuer  Unterrichtsbeginn;Frueheste Uhr fuer  Unterrichtsbeginn;Spaeteste Uhr fuer  Unterrichtsbeginn;Dif zum optimalen Schulbeginn;Dif zum fruehesten Unterrichtsbeginn;Dif zum spaetesten Unterrichtsbeginn;Schultyp;Schueleranzahl;Schulbeginn_Stunde1_7Uhr;Schulbeginn_Stunde2_8Uhr;Schulende_Stunde5_11Uhr;Schulende_Stunde6_12Uhr;Schulende_Stunde8_14Uhr;Schulende_Stunde10_15Uhr;Leistungen 30 Minuten frueh;Leistungen 20 Minuten frueh;Leistungen 10 Minuten frueh;Leistungen_ohne_Verchiebung;Leistungen10 Minuten spaet;Leistungen 20 Minuten spaet;Leistungen  30 Minuten spaet;Leistungen 40 Minuten spaet;Mensa;andere Essensmoeglichkeit;keine Essensmoeglichkeit;Ab wann Essen_12Uhr;Betreuung_vor_Unterricht;Betreuung_nach_Unterricht;Betreuungspersonal_30 Minuten frueh;Betreuungspersonal_20 Minuten frueh;Betreuungspersonal_10 Minuten frueh;Betreuungspersonal_keine_Verschiebung;Betreuungspersonal_10 Minuten spaet;Betreuungspersonal_20 Minuten spaet;Betreuungspersonal_30 Minuten spaet;Betreuungspersonal_40 Minuten spaet;Lehrer_an_anderer_Schule;Zeit fuer Lehrer;Schueler_an_anderer_Schule;Zeit fuer Schueler;Kinderbetreeung_30Minfrueh;Kinderbetreeung_20Minfrueh;Kinderbetreeung_10Minfrueh;Kinderbetreuung_keine_Verschiebung;Kinderbetreeung_10Minspaet;Kinderbetreeung_20Minspaet;Kinderbetreeung_30Minspaet;Kinderbetreeung_40Minspaet;Spaetestes SchulendeStunde 5_12Uhr;Spaetestes SchulendeStunde 6_13Uhr;Spaetestes SchulendeStunde 8_15Uhr;Spaetestes SchulendeStunde 10_16Uhr;Reale Buseinsparung;Zusaetzliche oePNV-Fahrten;Kuerzere Schulbusfahrten;ohne Umstieg;Parallele Verbindungen;Fahrtenangebot zu ihrer Schule;Gleichzeitige Befoerderung Schuelern einer Schule;Fav_Reale Buseinsparung;Fav_Zusaetzliche oePNV-Fahrten;Fav_Kuerzere Schulbusfahrten;Fav_ohne Umstieg;Fav_Parallele Verbindungen;Fav_Fahrtenangebot zu ihrer Schule;Fav_Gleichzeitige Befoerderung Schuelern einer Schule;Wartezeit_Busankunft_Schulbeginn_aktuell;Wartezeit_Schulende_Busabfahrt_aktuell;Wartezeit_Busankunft_Schulbeginn_Wunsch;Wartezeit_Schulende_Busabfahrt_wunsch;selbstaktiv_30 Minuten frueh;selbstaktiv_20 Minuten frueh;selbstaktiv_10 Minuten frueh;selbstaktiv_keine_Verschiebung;selbstaktiv_10 Minuten spaet;selbstaktiv_20 Minuten spaet;selbstaktiv_30 Minuten spaet;selbstaktiv_40 Minuten spaet
30;-40;60;40;30;70;2;4;50;40;85;75;100;140;;;;0;;;;;1;0;0;30;0;1;0;0;0;0;0;0;0;0;1;45;1;45;-1;-1;-1;0;1;1;1;0;30;15;30;60;1;1;1;1;0;;1;0;0;1;1;0;1;0;2;2;2;2;0;0;0;0;0;0;0;0
30;0;60;55;;85;3;2;35;20;55;40;60;;-2;-2;-2;0;0;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60;0;20;;;;0;;;;;0;0;30;;0;1;0;1;1;1;0;0;0;0;1;0;1;0;;;4;3;-2;-2;-1;0;0;1;1;2
15;-30;15;0;45;0;1;1;75;60;85;75;100;;-1;;;0;;;;;1;0;0;150;1;1;0;0;0;0;-1;-1;-1;-1;1;15;0;;1;;;0;;;;;30;30;40;-20;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;;;;0;;;0;;;;
-15;-30;-5;10;5;20;2;4;35;20;55;45;95;140;;;;0;;;;;1;0;0;215;0;1;0;0;0;0;0;0;0;0;1;15;0;10;;;;0;;;;;15;0;35;80;0;1;1;1;1;1;0;0;1;1;0;1;0;0;4;2;4;2;;;;0;;;;
-10;-30;15;15;5;40;2;3;35;25;20;55;35;20;-2;-2;-1;0;0;-1;-2;-2;1;0;0;150;0;1;-1;-1;;0;;0;0;0;1;30;0;;-1;-1;0;0;0;0;-1;-1;30;15;-15;30;;;1;1;;1;;0;0;1;1;0;1;0;4;4;3;3;-2;-1;0;0;0;1;-1;-2
;;;;;;3;3;50;35;70;55;60;;-1;-1;0;0;0;1;1;1;0;0;1;;0;1;0;0;0;0;0;0;0;0;0;20;0;15;;;;0;;;;;;;;;0;1;1;1;1;1;1;0;0;0;0;0;0;0;;;;;;;;0;;;;
0;-15;30;-10;25;20;5;3;70;55;90;75;25;70;-1;-1;0;0;0;-1;-1;-1;1;0;0;120;1;0;;;;0;;;;;1;10;0;;0;0;0;0;-1;-1;-1;-1;45;30;-30;15;1;1;1;1;1;1;1;0;0;1;0;1;1;0;3;3;2;2;-1;-1;0;0;0;0;-1;-1
0;-20;0;20;0;20;2;4;40;25;10;0;60;100;;;;0;;;;;1;0;0;-60;0;0;-1;-1;0;0;0;-1;-1;-1;1;30;0;30;;;;0;;;;;0;-15;0;40;1;1;1;1;1;1;0;0;1;0;0;1;1;0;3;4;3;3;;;;0;;;;
0;-15;0;10;5;10;1;5;50;40;70;60;60;;-2;-2;-2;0;0;0;0;1;0;0;1;180;0;0;;;;0;;;;;0;30;0;;-1;-1;0;0;0;-1;-1;-1;10;0;0;45;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;2;2;2;-1;-1;-1;0;0;0;0;1
30;-30;30;35;25;35;5;1;55;65;85;70;45;;-2;-2;-2;0;-2;-2;-2;-2;1;0;0;120;0;0;-1;-1;-1;0;;;;;0;20;0;20;-1;-1;-1;0;-1;-1;-1;-1;;;;-30;1;0;1;1;1;1;1;0;0;0;1;1;1;0;2;;2;3;0;0;0;0;0;0;0;0
